name,price,description,brand,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Focus Point Matte Lip Paint,EGP 275.00,"Achieve bold, vibrant lips with Focus Point Matte Lip Paint. Its creamy formula glides on smoothly and dries to a matte finish, free of stickiness or feathering. The twist-up design makes ...",Top Face,6,https://sourcebeauty.com/collections/makeup?tab=products&page=6,275.0,,5.616771097666572,0.1655977379882918,0,0,0,2,1
Foundation,EGP 284.00,"Achieve a radiant, even complexion with Azha Med Foundation. It provides deep hydration, treats pigmentation and spots, and protects the skin barrier. This powerful formula also helps resist the ...",Azha Med,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,284.0,,5.648974238161206,0.22651099306879385,0,0,0,2,1
Garden City Green Travel Bag,EGP 275.00,"Your ultimate solution for organizing and storing all your beauty essentials to have on the go! It comes in two sizes to cater to your needs, whether you want to take the beauty bag on long trips, ...",Source Beauty,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,275.0,,5.616771097666572,0.1655977379882918,0,0,0,2,1
Get BIG! Lashes Volume Curl Mascara,EGP 252.00,"Boost lash volume and curl with the Get BIG! Lashes Volume Curl Mascara. Its innovative large, curved fiber brush delivers dramatic, eye-opening results. This mascara ensures bold lashes that ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,252.0,,5.529429087511423,0.00038757332404816124,0,0,0,2,1
Get BIG! Lashes Volume Waterproof Mascara,EGP 252.00,"Stay ready for anything with the Get BIG! Lashes Volume Waterproof Mascara. It delivers bold volume with a lightweight feel. The mega fiber brush grabs even the tiniest lashes, boosting length and ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,252.0,,5.529429087511423,0.00038757332404816124,0,0,0,2,1
Glam & Go Bundle,EGP 305.00,"Elevate your makeup game with Orglam's Radiant Beauty Bundle! This all-in-one set includes the luscious Allure Lip Gloss, which glides on effortlessly to give your lips a fuller, glossy finish, ...",Orglam,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,305.0,,5.720311776607412,0.3614481951380405,0,0,0,2,1
Glamour 119,EGP 185.00,"Experience the perfect harmony between you and the Ardell Glamour 119 lashes. These lashes offer a balanced blend of medium volume and medium length fibers, elevating your natural lashes to a ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Glamour 139,EGP 185.00,"Embrace a fresh and exhilarating lash transformation with Ardell's Black 139. These lashes feature an extraordinary and dramatic winged silhouette, gracefully sweeping out with a bold curve. With ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Glamour 141,EGP 185.00,"Embrace a daring look with a rounded shape that elongates the center and features shorter corners for added allure. The lashes have delicate, fluttery tips that taper to a fine point. They come in ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Glamour 142,EGP 185.00,"Whether day or night, Ardell Glamour 142 false lashes will give your eyelashes the perfect amount of volume and length without overwhelming your natural lashes. Carefully crafted with soft, ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Gloss Bomb,EGP 220.00,"Introducing the Glass Bomb Lip Gloss from Buend! Experience the ultimate lip gloss with its water-proof formula, ensuring a flawless and long-lasting shine. Say goodbye to stickiness as this ...",Buend,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,220.0,,5.393627546352362,-0.2564853213653825,0,0,0,2,1
Heliopolis Pink Travel Bag,EGP 275.00,"Your ultimate solution for organizing and storing all your beauty essentials to have on the go! It comes in two sizes to cater to your needs, whether you want to take the beauty bag on long trips, ...",Source Beauty,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,275.0,,5.616771097666572,0.1655977379882918,0,0,0,2,1
"Hello, Good Stuff! Matte & Glow Bronzer",EGP 215.00,"Get your glow with the 2-in-1 Matte & Glow Bronzer. Its matte and pearly shades blend easily with a brush to mattify and highlight the face. Made with cocoa butter and 99% natural ingredients, ...",Essence,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,215.0,,5.3706380281276624,-0.2999707195684643,0,0,0,2,1
Highlighter 001,EGP 286.00,"This multi-use highlighter from Luna can be used both wet and dry to transform your complexion. When applied wet, it has full coverage abilities like a foundation, perfectly hiding imperfections ...",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,286.0,,5.655991810819852,0.2397849529011676,0,0,0,2,1
Individuals - Knotted,EGP 185.00,Discover the ideal balance with the Ardell Knotted Singles Individuals! These lashes are perfect for beginners and experienced faux lash enthusiasts. Each pack includes 56 individual lash clusters ...,Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Instyle Metalic Eyeliner,EGP 295.00,"Create a striking look with Instyle Metallic Eyeliner. Featuring shiny metallic colors, it delivers an impressive look that lasts from day to night. Perfect for adding a pop of shimmer, this ...",Top Face,5,https://sourcebeauty.com/collections/makeup?tab=products&page=5,295.0,,5.68697535633982,0.2983913056533346,0,0,0,2,1
Just Magic Kajal Liner - Deep Black,EGP 280.00,"Create bold, seductive eye looks with the Just Magic Kajal Liner. Its silky, soft texture glides on effortlessly, while the highly pigmented formula delivers deep black color. The extra-soft, lift ...",Flormar,3,https://sourcebeauty.com/collections/makeup?tab=products&page=3,280.0,,5.634789603169249,0.1996803089734694,0,0,0,2,1
Lash Princess Sculpted Volume Mascara,EGP 250.00,"Experience lashes that captivate with every swipe of the Lash Princess Sculpted Volume Mascara. The unique tapered brush sculpts and separates each lash, building dramatic volume or a perfectly ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Lash Without Limits Extreme Lengthening & Volume Mascara,EGP 260.00,Enjoy bold and lifted lashes with the Lash Without Limits Extreme Lengthening & Volume Mascara. Its flexible elastomer wand ensures even the shortest lashes get extra length and volume. The ...,Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,260.0,,5.560681631015528,0.05950274424028741,0,0,0,2,1
Level Up Mascara,EGP 280.00,"Introducing Level Up Mascara! This revolutionary mascara gives you unreal levels of volume, length and extreme definition, all while being humidity-resistant. Perfect for short and thin lashes, ...",Amanda Milano,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,280.0,,5.634789603169249,0.1996803089734694,0,0,0,2,1
Lifter Lip Gloss,EGP 300.00,"Unlock the secret to luscious, hydrated lips with the Lifter Lip Gloss from Queen By Lord. Infused with nourishing mineral oils, this gloss keeps lips soft and moisturized all day. Its ...",Queen By Lord,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,300.0,,5.703782474656201,0.3301824996005352,0,0,0,2,1
Light Enhancer Makeup Base,EGP 286.00,Get ready to glow with confidence all day long with this Pro-Light Enhancer from Luna. Experience its brightening effect that will leave your skin radiant and smooth. Formulated with an oil-free ...,Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,286.0,,5.655991810819852,0.2397849529011676,0,0,0,2,1
Light as Air Lash - 522,EGP 237.00,"Elevate your look with Ardell's Light as Air Lashes. Designed with 50% lighter hourglass-shaped fibers, these lashes offer medium volume and length without the weight. The flared, crisscross ...",Ardell,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,237.0,,5.4680601411351315,-0.11569372269934883,0,0,0,2,1
Linen Pouch,EGP 208.25,"Indulge in elegance with Trace's Linen Pouch. Crafted from durable, high-quality linen, each pouch showcases vibrant red and pink pom-poms against a neutral backdrop, adding a touch of charm to ...",Trace Cosmetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,208.25,,5.338739281046952,-0.36030820491401483,0,0,0,2,1
Lip & Cheek Tint,EGP 159.00,"Achieve a flawless, natural glow with just one swipe. This 3-in-1 multitasker for lips, cheeks, and eyes offers long-lasting, waterproof color that won’t smudge or fade. Lightweight and non-oily, ...",Donna Natural,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,159.0,,5.0689042022202315,-0.8707097599728434,1,0,3,3,1
Lip & Cheek Tint Stain,EGP 235.00,"Revel in a luxurious, velvety finish for lips and cheeks with Cybele's Liquid Lip and Cheek Tint. With its uniquely long-lasting formula, this tint offers a smooth, non-transferable finish, ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,235.0,,5.459585514144159,-0.13172374671825554,0,0,0,2,1
Lip Gloss,EGP 220.00,"Experience natural, glossy shine with a smooth, non-sticky finish using Luna's Lip Gloss. Its lightweight formula keeps your lips soft, hydrated, and comfortable all day long. Perfect for everyday ...",Luna,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,220.0,,5.393627546352362,-0.2564853213653825,0,0,0,2,1
Lip Oil,EGP 230.00,"Introducing the lip oil from Buend - the perfect solution for luscious, moisturized lips. This non-sticky formula provides a natural glow and is water-proof, ensuring long-lasting wear. With its ...",Buend,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,230.0,,5.438079308923196,-0.17240341163032927,0,0,0,2,1
Lip Plumper,EGP 190.00,"Essentials Lip Plumper gives you the fuller, plumper pout you've always wanted. This innovative formula contains hyaluronic acid, which helps your lips retain moisture and plumps them up by ...",Essentials,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,190.0,,5.247024072160486,-0.5337904127935117,1,0,3,3,1
Liquid Blush - Silky Matte Finish Shade 01,EGP 245.00,"Introducing the Amanda Liquid Blusher, a smooth and lightweight fluid that effortlessly creates a natural-looking, second-skin finish. This highly-pigmented liquid blush adds a touch of color for ...",Amanda Milano,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,245.0,,5.501258210544727,-0.052898528222466955,0,0,0,2,1
Long Lasting Concealer,EGP 165.00,"Introducing Amanda's gentle and easy application long-lasting liquid concealer. Formulated with nourishing ingredients, this concealer not only effectively covers dark circles and imperfections ...",Amanda Milano,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,165.0,,5.10594547390058,-0.8006450272879306,1,0,3,3,1
Love Notes Lipstick - Nude Pink,EGP 250.00,"Essentials' Lipstick Love Notes in Nude Pink is a luxurious lip color that effortlessly enhances your natural beauty. Formulated with high-quality pigments, this creamy lipstick delivers intense, ...",Essentials,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Maadi Orange Travel Bag,EGP 275.00,"Your ultimate solution for organizing and storing all your beauty essentials to have on the go! It comes in two sizes to cater to your needs, whether you want to take the beauty bag on long trips, ...",Source Beauty,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,275.0,,5.616771097666572,0.1655977379882918,0,0,0,2,1
Mascara Eye Colouring Tint,EGP 250.00,"Add a vibrant pop of color and lift to your lashes with the Eye Colouring Mascara Tint from Essentials. Its smooth formula defines lashes with rich pigment, curls and lengthens them while ...",Essentials,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Matte Liquid Lip Color,EGP 270.00,"Elevate your lip game with this Matte liquid Lip Color from Cybele, boasting amazing coverage and a transfer-proof matte finish. Enriched with Vitamin E, ensuring moisturized and crack-free lips. ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,270.0,,5.598421958998375,0.13088976395111399,0,0,0,2,1
Matte Studio Blush Stick (1),EGP 165.00,"The Matte Studio Blush Stick is the perfect way to get a natural, soft, and creamy silky finish that lasts all day. This easy to apply creamy blush stick gives your cheeks a beautiful flush of ...",Amanda Milano,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,165.0,,5.10594547390058,-0.8006450272879306,1,0,3,3,1
Maxicils Volume Mascara,EGP 165.00,"Achieve bold, intense lashes with Maxicils Volume Mascara, designed to deliver full coverage and impressive volume. Its oval brush shapes and plumps every lash, even the tiniest, while the ...",Luna,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,165.0,,5.10594547390058,-0.8006450272879306,1,0,3,3,1
Mega Lash Mascara,EGP 250.00,"Get the false lashes effect with Megalash Mascara! Amanda's advanced formula thickens and lengthens your lashes for a dramatic, false lash look without the hassle of applying individual lashes. ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Mega Lash Waterproof Mascara,EGP 260.00,"Get the false lashes effect with Mega Lash Waterproof Mascara! Amanda's advanced formula thickens and lengthens your lashes for a dramatic, false lash look without the hassle of applying ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,260.0,,5.560681631015528,0.05950274424028741,0,0,0,2,1
Moist Matte Lipstick,EGP 165.00,"Introducing the Amanda Moist Matte Lipstick, the revolutionary new matte lipstick that will take your look to the next level. This sophisticated silky matte formula will give you the perfect matte ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,165.0,,5.10594547390058,-0.8006450272879306,1,0,3,3,1
Nude Nation Lipstick,EGP 180.00,"Introducing the Amanda Moist Matte Lipstick, the revolutionary new matte lipstick that will take your look to the next level. This sophisticated silky matte formula will give you the perfect matte ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,180.0,,5.19295685089021,-0.6360602656756855,1,0,3,3,1
Old Pink Gel Lip Liner,EGP 230.00,"Embrace the waterproof formula that promises both a long-lasting effect and vibrant color, ensuring your lips look stunning from dawn to dusk. This precise and easy-to-blend lip liner provides ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,230.0,,5.438079308923196,-0.17240341163032927,0,0,0,2,1
Peach Lips & Cheeks Tint,EGP 250.00,"Enhance your lips and cheeks with a subtle yet buildable burst of natural color. This versatile tint can be applied under lip gloss for a stunning look, or gently dabbed onto the cheeks for a ...",Rhea Beauty,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Perfect Concealer,EGP 220.00,"Elevate your beauty routine with Cybele's creamy and liquid concealer, featuring an easy-to-use brush for smooth application. Achieve full, natural-looking coverage with a soft, radiant finish ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,220.0,,5.393627546352362,-0.2564853213653825,0,0,0,2,1
Pink Waves Small Pouch,EGP 249.00,"Meet your new summer beauty essential, the Pink Waves Small Pouch. This waterproof pouch is compact yet spacious, designed to store your favorite sprays, brushes, lip oils, and SPF’s with ease. ...",Source Beauty,4,https://sourcebeauty.com/collections/makeup?tab=products&page=4,249.0,,5.517452896464707,-0.02226576945297015,0,0,0,2,1
Plumping Liquid Lipstick,EGP 205.70,"Get fuller, more captivating lips instantly with the Plumping Liquid Lipstick from Luna. Its lightweight formula boosts volume by stimulating circulation, creating a natural look with a gentle ...",Luna,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,205.7,,5.326418796658912,-0.38361278939605015,0,0,0,2,1
Plumping Liquid Lipstick,EGP 229.90,"Experience a whole new level of radiance with Luna's Plumping Liquid Lipstick. Formulated with a powerful ingredient that increases blood flow, this lipstick creates fuller, more alluring lips. ...",Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,229.9,,5.437644431769136,-0.17322599547175135,0,0,0,2,1
Pro-Fix Make Up Fixer,EGP 308.00,"Introducing Pro-fix from Luna, the ultimate makeup fixer with a refreshing mist. Its advanced formula keeps your makeup in place all day, preventing smudging and fading. Experience an instant ...",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,308.0,,5.730099782973574,0.3799625176343496,0,0,0,2,1
Professional Brow Kit,EGP 220.00,"This Professional Brow Kit is the perfect addition to your makeup routine! With its soft, spreadable texture, it provides a light and silky touch feel that gives a flawless finish. This brow ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,220.0,,5.393627546352362,-0.2564853213653825,0,0,0,2,1
Rich Cream Lip Stick,EGP 185.00,"Introducing Cyble's Rich Cream Lipstick - get the perfect pout with this creamy, hydrating formula. Vibrant hues enhance your lips while keeping them moisturized and lustrous all day. Choose from ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,185.0,,5.220355825078324,-0.584234242560246,1,0,3,3,1
Shine Appeal Beige Cafe Liquide Lip Color 01,EGP 240.00,"Experience excellent coverage and incomparable brightness with Cybele Shine Appeal Lip Color. A special formula that is designed to provide intense moisture paired with bold, long-lasting shine ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,240.0,,5.480638923341991,-0.09190055975313909,0,0,0,2,1
"Solar Gel 203 Piano, Piano",EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 225 Crazy Daizy,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 276 Never Too Late,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 315 Prima,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 316 Lace Pointes,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 317 Grand Plie,EGP 247.00,Discover the perfect shade to match your mood with the Ballerina Solar Gel Professional Nail Polish. This innovative 2-step system delivers a stunning gel-like shine without the need for a lamp. ...,Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 319 Swan Lake,EGP 247.00,Discover the perfect shade to match your mood with the One Night Girl Solar Gel Professional Nail Polish. This innovative 2-step system delivers a stunning gel-like shine without the need for a ...,Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 335 One Night Girl,EGP 247.00,Discover the perfect shade to match your mood with the Power of Fire Solar Gel Professional Nail Polish. This innovative 2-step system delivers a stunning gel-like shine without the need for a ...,Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 343 Power of Fire,EGP 247.00,"Discover the perfect shade to match your mood with the Why Not, My Friend Solar Gel Professional Nail Polish. This innovative 2-step system delivers a stunning gel-like shine without the need for ...",Kinetics,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 362 Too Hot To Believe,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
Solar Gel 365 Shark In The Pool,EGP 247.00,Solar Gel is a 2-step latest-generation nail polish system that uses elements of gel polish to achieve superior shine and give it a gel-like look without drying in a lamp. It has a ...,Kinetics,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,247.0,,5.5093883366279774,-0.037520138526959956,0,0,0,2,1
